session,timestamp,rssi,true,pred,match
6,2026-04-17 20:57:09.149,-43,sitting,walking,False
6,2026-04-17 20:57:09.198,-43,sitting,walking,False
6,2026-04-17 20:57:09.249,-39,sitting,walking,False
6,2026-04-17 20:57:09.299,-39,sitting,walking,False
6,2026-04-17 20:57:09.349,-39,sitting,walking,False
6,2026-04-17 20:57:09.399,-39,sitting,walking,False
6,2026-04-17 20:57:09.449,-43,sitting,walking,False
6,2026-04-17 20:57:09.499,-43,sitting,walking,False
6,2026-04-17 20:57:09.549,-38,sitting,walking,False
6,2026-04-17 20:57:09.598,-38,sitting,walking,False
6,2026-04-17 20:57:09.649,-40,sitting,walking,False
6,2026-04-17 20:57:09.699,-40,sitting,walking,False
6,2026-04-17 20:57:09.749,-41,sitting,walking,False
6,2026-04-17 20:57:09.799,-41,sitting,walking,False
6,2026-04-17 20:57:09.849,-41,sitting,walking,False
6,2026-04-17 20:57:09.899,-41,sitting,walking,False
6,2026-04-17 20:57:09.948,-41,sitting,walking,False
6,2026-04-17 20:57:09.999,-41,sitting,walking,False
6,2026-04-17 20:57:10.049,-42,sitting,walking,False
7,2026-04-19 00:43:08.504,-57,walking,walking,True
7,2026-04-19 00:43:08.554,-57,walking,walking,True
7,2026-04-19 00:43:08.604,-57,walking,walking,True
7,2026-04-19 00:43:08.755,-54,walking,walking,True
7,2026-04-19 00:43:08.804,-54,walking,walking,True
7,2026-04-19 00:43:08.854,-54,walking,walking,True
7,2026-04-19 00:43:08.904,-54,walking,walking,True
7,2026-04-19 00:43:08.954,-62,walking,walking,True
7,2026-04-19 00:43:09.004,-62,walking,walking,True
7,2026-04-19 00:43:09.054,-58,walking,walking,True
7,2026-04-19 00:43:09.104,-58,walking,walking,True
7,2026-04-19 00:43:09.154,-56,walking,walking,True
7,2026-04-19 00:43:09.204,-56,walking,walking,True
7,2026-04-19 00:43:09.354,-57,walking,walking,True
7,2026-04-19 00:43:09.404,-57,walking,walking,True
7,2026-04-19 00:43:09.454,-58,walking,walking,True
7,2026-04-19 00:43:09.504,-58,walking,walking,True
7,2026-04-19 00:43:09.555,-61,walking,walking,True
7,2026-04-19 00:43:09.604,-61,walking,walking,True
7,2026-04-19 00:43:09.654,-57,walking,walking,True
7,2026-04-19 00:43:09.704,-57,walking,walking,True
7,2026-04-19 00:43:09.753,-52,walking,walking,True
7,2026-04-19 00:43:09.804,-52,walking,walking,True
7,2026-04-19 00:43:09.854,-56,walking,walking,True
7,2026-04-19 00:43:09.905,-56,walking,walking,True
7,2026-04-19 00:43:09.954,-54,walking,walking,True
7,2026-04-19 00:43:10.004,-54,walking,walking,True
7,2026-04-19 00:43:10.054,-53,walking,walking,True
7,2026-04-19 00:43:10.104,-53,walking,walking,True
7,2026-04-19 00:43:10.154,-54,walking,walking,True
7,2026-04-19 00:43:10.204,-54,walking,walking,True
7,2026-04-19 00:43:10.254,-54,walking,walking,True
7,2026-04-19 00:43:10.304,-53,walking,walking,True
7,2026-04-19 00:43:10.354,-53,walking,walking,True
7,2026-04-19 00:43:10.404,-53,walking,walking,True
7,2026-04-19 00:43:10.454,-53,walking,walking,True
7,2026-04-19 00:43:10.504,-56,walking,walking,True
7,2026-04-19 00:43:10.553,-56,walking,walking,True
7,2026-04-19 00:43:10.604,-55,walking,walking,True
7,2026-04-19 00:43:10.654,-55,walking,walking,True
7,2026-04-19 00:43:10.704,-53,walking,walking,True
7,2026-04-19 00:43:10.754,-53,walking,walking,True
7,2026-04-19 00:43:10.804,-53,walking,walking,True
7,2026-04-19 00:43:10.853,-53,walking,walking,True
7,2026-04-19 00:43:10.904,-51,walking,walking,True
7,2026-04-19 00:43:10.954,-51,walking,walking,True
7,2026-04-19 00:43:11.004,-54,walking,walking,True
7,2026-04-19 00:43:11.054,-54,walking,walking,True
7,2026-04-19 00:43:11.104,-55,walking,walking,True
7,2026-04-19 00:43:11.154,-55,walking,walking,True
7,2026-04-19 00:43:11.204,-53,walking,walking,True
7,2026-04-19 00:43:11.253,-53,walking,walking,True
7,2026-04-19 00:43:11.304,-52,walking,walking,True
7,2026-04-19 00:43:11.354,-52,walking,walking,True
7,2026-04-19 00:43:11.404,-60,walking,walking,True
7,2026-04-19 00:43:11.454,-60,walking,walking,True
7,2026-04-19 00:43:11.504,-52,walking,walking,True
7,2026-04-19 00:43:11.554,-52,walking,walking,True
7,2026-04-19 00:43:11.604,-52,walking,walking,True
7,2026-04-19 00:43:11.654,-52,walking,walking,True
7,2026-04-19 00:43:11.704,-58,walking,walking,True
7,2026-04-19 00:43:11.754,-58,walking,walking,True
7,2026-04-19 00:43:11.805,-51,walking,walking,True
7,2026-04-19 00:43:11.854,-51,walking,walking,True
7,2026-04-19 00:43:11.905,-55,walking,walking,True
7,2026-04-19 00:43:11.955,-55,walking,walking,True
7,2026-04-19 00:43:12.004,-59,walking,walking,True
7,2026-04-19 00:43:12.054,-59,walking,walking,True
7,2026-04-19 00:43:12.104,-52,walking,walking,True
7,2026-04-19 00:43:12.154,-52,walking,walking,True
7,2026-04-19 00:43:12.204,-57,walking,walking,True
7,2026-04-19 00:43:12.254,-57,walking,walking,True
7,2026-04-19 00:43:12.304,-58,walking,walking,True
7,2026-04-19 00:43:12.354,-58,walking,walking,True
7,2026-04-19 00:43:12.405,-58,walking,walking,True
7,2026-04-19 00:43:12.454,-51,walking,walking,True
7,2026-04-19 00:43:12.504,-51,walking,walking,True
7,2026-04-19 00:43:12.554,-56,walking,walking,True
7,2026-04-19 00:43:12.605,-56,walking,walking,True
7,2026-04-19 00:43:12.654,-57,walking,walking,True
7,2026-04-19 00:43:12.704,-57,walking,walking,True
7,2026-04-19 00:43:12.754,-53,walking,walking,True
7,2026-04-19 00:43:12.804,-53,walking,walking,True
7,2026-04-19 00:43:12.854,-60,walking,walking,True
7,2026-04-19 00:43:12.904,-60,walking,walking,True
7,2026-04-19 00:43:12.954,-54,walking,walking,True
7,2026-04-19 00:43:13.004,-54,walking,walking,True
7,2026-04-19 00:43:13.054,-53,walking,walking,True
7,2026-04-19 00:43:13.104,-53,walking,walking,True
7,2026-04-19 00:43:13.154,-54,walking,walking,True
7,2026-04-19 00:43:13.203,-54,walking,walking,True
7,2026-04-19 00:43:13.254,-61,walking,walking,True
7,2026-04-19 00:43:13.304,-61,walking,walking,True
7,2026-04-19 00:43:13.454,-59,walking,walking,True
7,2026-04-19 00:43:13.504,-59,walking,walking,True
7,2026-04-19 00:43:13.654,-64,walking,walking,True
7,2026-04-19 00:43:13.704,-64,walking,walking,True
7,2026-04-19 00:43:13.754,-57,walking,walking,True
7,2026-04-19 00:43:13.804,-57,walking,walking,True
7,2026-04-19 00:43:13.854,-60,walking,walking,True
7,2026-04-19 00:43:13.904,-60,walking,walking,True
7,2026-04-19 00:43:13.954,-54,walking,walking,True
7,2026-04-19 00:43:14.004,-54,walking,walking,True
7,2026-04-19 00:43:14.054,-55,walking,walking,True
7,2026-04-19 00:43:14.103,-55,walking,walking,True
7,2026-04-19 00:43:14.154,-58,walking,walking,True
7,2026-04-19 00:43:14.205,-58,walking,walking,True
7,2026-04-19 00:43:14.254,-57,walking,walking,True
7,2026-04-19 00:43:14.305,-57,walking,walking,True
7,2026-04-19 00:43:14.354,-57,walking,walking,True
7,2026-04-19 00:43:14.404,-57,walking,falling,False
7,2026-04-19 00:43:14.455,-57,walking,falling,False
7,2026-04-19 00:43:14.504,-55,falling,falling,True
7,2026-04-19 00:43:14.554,-55,falling,falling,True
7,2026-04-19 00:43:14.604,-54,falling,falling,True
7,2026-04-19 00:43:14.654,-54,falling,falling,True
7,2026-04-19 00:43:14.705,-62,falling,falling,True
7,2026-04-19 00:43:14.754,-62,falling,falling,True
7,2026-04-19 00:43:14.804,-56,falling,falling,True
7,2026-04-19 00:43:14.854,-56,falling,falling,True
7,2026-04-19 00:43:14.904,-58,falling,falling,True
7,2026-04-19 00:43:14.954,-58,falling,falling,True
7,2026-04-19 00:43:15.004,-56,falling,falling,True
7,2026-04-19 00:43:15.054,-56,falling,falling,True
7,2026-04-19 00:43:15.104,-58,falling,falling,True
7,2026-04-19 00:43:15.154,-58,falling,falling,True
7,2026-04-19 00:43:15.204,-55,falling,falling,True
7,2026-04-19 00:43:15.254,-55,falling,falling,True
7,2026-04-19 00:43:15.304,-54,falling,falling,True
7,2026-04-19 00:43:15.354,-54,falling,falling,True
7,2026-04-19 00:43:15.404,-52,falling,falling,True
7,2026-04-19 00:43:15.454,-52,falling,falling,True
7,2026-04-19 00:43:15.504,-52,falling,falling,True
7,2026-04-19 00:43:15.554,-52,falling,falling,True
7,2026-04-19 00:43:15.604,-54,falling,falling,True
7,2026-04-19 00:43:15.654,-54,falling,falling,True
7,2026-04-19 00:43:15.704,-53,falling,falling,True
7,2026-04-19 00:43:15.754,-53,falling,falling,True
7,2026-04-19 00:43:15.804,-53,falling,falling,True
7,2026-04-19 00:43:15.855,-53,falling,falling,True
7,2026-04-19 00:43:15.904,-55,falling,walking,False
7,2026-04-19 00:43:15.954,-55,falling,walking,False
7,2026-04-19 00:43:16.004,-53,falling,walking,False
7,2026-04-19 00:43:16.054,-53,falling,walking,False
7,2026-04-19 00:43:16.104,-52,falling,walking,False
7,2026-04-19 00:43:16.154,-52,falling,walking,False
7,2026-04-19 00:43:16.204,-59,falling,walking,False
7,2026-04-19 00:43:16.254,-59,falling,walking,False
7,2026-04-19 00:43:16.305,-52,falling,walking,False
7,2026-04-19 00:43:16.354,-52,falling,walking,False
7,2026-04-19 00:43:16.404,-53,falling,walking,False
7,2026-04-19 00:43:16.454,-53,falling,walking,False
7,2026-04-19 00:43:16.504,-56,lying,walking,False
7,2026-04-19 00:43:16.554,-56,lying,walking,False
7,2026-04-19 00:43:16.604,-56,lying,walking,False
7,2026-04-19 00:43:16.655,-51,lying,walking,False
7,2026-04-19 00:43:16.704,-51,lying,walking,False
7,2026-04-19 00:43:16.754,-54,lying,walking,False
7,2026-04-19 00:43:16.804,-54,lying,walking,False
7,2026-04-19 00:43:16.854,-55,lying,walking,False
7,2026-04-19 00:43:16.904,-55,lying,lying,True
7,2026-04-19 00:43:16.954,-51,lying,lying,True
7,2026-04-19 00:43:17.004,-51,lying,lying,True
7,2026-04-19 00:43:17.054,-54,lying,lying,True
7,2026-04-19 00:43:17.105,-54,lying,lying,True
7,2026-04-19 00:43:17.154,-54,lying,lying,True
7,2026-04-19 00:43:17.204,-54,lying,lying,True
7,2026-04-19 00:43:17.254,-52,lying,lying,True
7,2026-04-19 00:43:17.304,-52,lying,lying,True
7,2026-04-19 00:43:17.353,-53,lying,lying,True
7,2026-04-19 00:43:17.404,-53,lying,lying,True
7,2026-04-19 00:43:17.454,-55,lying,lying,True
7,2026-04-19 00:43:17.504,-55,lying,lying,True
7,2026-04-19 00:43:17.554,-54,lying,lying,True
7,2026-04-19 00:43:17.604,-54,lying,lying,True
7,2026-04-19 00:43:17.654,-55,lying,lying,True
7,2026-04-19 00:43:17.704,-55,lying,lying,True
7,2026-04-19 00:43:17.754,-53,lying,lying,True
7,2026-04-19 00:43:17.804,-53,lying,lying,True
7,2026-04-19 00:43:17.854,-54,lying,lying,True
7,2026-04-19 00:43:17.904,-54,lying,lying,True
7,2026-04-19 00:43:17.954,-56,lying,lying,True
7,2026-04-19 00:43:18.004,-56,lying,lying,True
7,2026-04-19 00:43:18.055,-55,lying,lying,True
7,2026-04-19 00:43:18.104,-55,lying,lying,True
7,2026-04-19 00:43:18.154,-55,lying,lying,True
7,2026-04-19 00:43:18.204,-55,lying,lying,True
7,2026-04-19 00:43:18.254,-55,lying,lying,True
7,2026-04-19 00:43:18.304,-55,lying,lying,True
7,2026-04-19 00:43:18.354,-55,lying,lying,True
7,2026-04-19 00:43:18.404,-55,lying,lying,True
7,2026-04-19 00:43:18.454,-54,lying,lying,True
7,2026-04-19 00:43:18.505,-54,lying,lying,True
7,2026-04-19 00:43:18.554,-53,lying,lying,True
7,2026-04-19 00:43:18.604,-53,lying,lying,True
7,2026-04-19 00:43:18.655,-55,lying,lying,True
7,2026-04-19 00:43:18.704,-55,lying,lying,True
7,2026-04-19 00:43:18.754,-55,lying,lying,True
7,2026-04-19 00:43:18.804,-54,lying,lying,True
7,2026-04-19 00:43:18.854,-54,lying,lying,True
7,2026-04-19 00:43:18.904,-53,lying,lying,True
7,2026-04-19 00:43:18.954,-53,lying,lying,True
7,2026-04-19 00:43:19.004,-54,lying,lying,True
7,2026-04-19 00:43:19.054,-54,lying,lying,True
7,2026-04-19 00:43:19.104,-53,lying,lying,True
7,2026-04-19 00:43:19.154,-53,lying,lying,True
7,2026-04-19 00:43:19.204,-54,lying,lying,True
7,2026-04-19 00:43:19.253,-54,lying,lying,True
7,2026-04-19 00:43:19.304,-54,lying,lying,True
7,2026-04-19 00:43:19.354,-54,lying,lying,True
7,2026-04-19 00:43:19.404,-54,lying,lying,True
7,2026-04-19 00:43:19.454,-54,lying,lying,True
7,2026-04-19 00:43:19.504,-57,lying,lying,True
7,2026-04-19 00:43:19.554,-57,lying,lying,True
7,2026-04-19 00:43:19.604,-54,lying,lying,True
7,2026-04-19 00:43:19.654,-54,lying,lying,True
7,2026-04-19 00:43:19.704,-54,lying,lying,True
7,2026-04-19 00:43:19.753,-54,lying,lying,True
7,2026-04-19 00:43:19.804,-54,lying,lying,True
7,2026-04-19 00:43:19.854,-54,lying,lying,True
7,2026-04-19 00:43:19.904,-55,lying,walking,False
7,2026-04-19 00:43:19.954,-55,lying,walking,False
7,2026-04-19 00:43:20.005,-53,lying,walking,False
7,2026-04-19 00:43:20.054,-53,lying,walking,False
7,2026-04-19 00:43:20.204,-55,lying,walking,False
7,2026-04-19 00:43:20.254,-55,lying,walking,False
7,2026-04-19 00:43:20.304,-52,lying,walking,False
7,2026-04-19 00:43:20.354,-52,lying,walking,False
7,2026-04-19 00:43:20.404,-64,lying,walking,False
7,2026-04-19 00:43:20.453,-64,lying,walking,False
7,2026-04-19 00:43:20.504,-53,lying,walking,False
7,2026-04-19 00:43:20.553,-53,lying,walking,False
7,2026-04-19 00:43:20.604,-54,lying,walking,False
7,2026-04-19 00:43:20.654,-54,lying,walking,False
7,2026-04-19 00:43:20.704,-59,lying,walking,False
7,2026-04-19 00:43:20.755,-59,lying,walking,False
7,2026-04-19 00:43:20.804,-51,lying,walking,False
7,2026-04-19 00:43:20.854,-51,lying,walking,False
7,2026-04-19 00:43:20.904,-51,lying,walking,False
7,2026-04-19 00:43:20.954,-54,lying,walking,False
7,2026-04-19 00:43:21.004,-54,lying,lying,True
7,2026-04-19 00:43:21.055,-56,lying,lying,True
7,2026-04-19 00:43:21.104,-56,lying,lying,True
7,2026-04-19 00:43:21.154,-51,lying,lying,True
7,2026-04-19 00:43:21.205,-51,lying,lying,True
7,2026-04-19 00:43:21.254,-53,lying,lying,True
7,2026-04-19 00:43:21.304,-53,lying,lying,True
7,2026-04-19 00:43:21.354,-54,lying,lying,True
7,2026-04-19 00:43:21.404,-54,lying,lying,True
7,2026-04-19 00:43:21.454,-52,lying,lying,True
7,2026-04-19 00:43:21.504,-52,lying,lying,True
7,2026-04-19 00:43:21.554,-53,lying,lying,True
7,2026-04-19 00:43:21.604,-53,lying,lying,True
7,2026-04-19 00:43:21.654,-54,lying,lying,True
7,2026-04-19 00:43:21.703,-54,lying,lying,True
7,2026-04-19 00:43:21.754,-54,lying,lying,True
7,2026-04-19 00:43:21.804,-54,lying,lying,True
7,2026-04-19 00:43:21.854,-53,lying,lying,True
7,2026-04-19 00:43:21.904,-53,lying,lying,True
7,2026-04-19 00:43:21.953,-54,lying,lying,True
7,2026-04-19 00:43:22.004,-54,lying,lying,True
7,2026-04-19 00:43:22.054,-54,lying,lying,True
7,2026-04-19 00:43:22.104,-54,lying,lying,True
7,2026-04-19 00:43:22.154,-54,lying,lying,True
7,2026-04-19 00:43:22.204,-54,lying,lying,True
7,2026-04-19 00:43:22.254,-56,lying,lying,True
7,2026-04-19 00:43:22.304,-56,lying,lying,True
7,2026-04-19 00:43:22.354,-54,lying,lying,True
7,2026-04-19 00:43:22.404,-54,lying,lying,True
7,2026-04-19 00:43:22.454,-53,lying,lying,True
7,2026-04-19 00:43:22.504,-53,lying,walking,False
7,2026-04-19 00:43:22.554,-54,lying,walking,False
7,2026-04-19 00:43:22.604,-54,lying,walking,False
7,2026-04-19 00:43:22.654,-53,lying,walking,False
7,2026-04-19 00:43:22.704,-53,lying,walking,False
7,2026-04-19 00:43:22.753,-58,lying,walking,False
7,2026-04-19 00:43:22.804,-58,lying,walking,False
7,2026-04-19 00:43:22.855,-55,lying,walking,False
7,2026-04-19 00:43:22.904,-55,lying,walking,False
7,2026-04-19 00:43:22.954,-53,lying,walking,False
7,2026-04-19 00:43:23.004,-53,lying,walking,False
7,2026-04-19 00:43:23.054,-53,lying,walking,False
7,2026-04-19 00:43:23.104,-64,lying,walking,False
7,2026-04-19 00:43:23.153,-64,lying,walking,False
7,2026-04-19 00:43:23.204,-52,lying,walking,False
7,2026-04-19 00:43:23.254,-52,lying,walking,False
7,2026-04-19 00:43:23.303,-53,lying,walking,False
7,2026-04-19 00:43:23.354,-53,lying,walking,False
7,2026-04-19 00:43:23.404,-56,lying,walking,False
7,2026-04-19 00:43:23.454,-56,lying,walking,False
7,2026-04-19 00:43:23.504,-51,lying,falling,False
7,2026-04-19 00:43:23.554,-51,lying,falling,False
7,2026-04-19 00:43:23.604,-55,lying,falling,False
7,2026-04-19 00:43:23.653,-55,lying,falling,False
7,2026-04-19 00:43:23.704,-54,lying,falling,False
7,2026-04-19 00:43:23.754,-54,lying,falling,False
7,2026-04-19 00:43:23.804,-53,lying,falling,False
7,2026-04-19 00:43:23.855,-53,lying,falling,False
7,2026-04-19 00:43:23.905,-55,lying,falling,False
7,2026-04-19 00:43:23.954,-55,lying,falling,False
7,2026-04-19 00:43:24.004,-55,lying,falling,False
7,2026-04-19 00:43:24.054,-55,lying,falling,False
7,2026-04-19 00:43:24.104,-55,lying,falling,False
7,2026-04-19 00:43:24.155,-55,lying,falling,False
7,2026-04-19 00:43:24.204,-54,lying,falling,False
7,2026-04-19 00:43:24.254,-54,lying,falling,False
7,2026-04-19 00:43:24.304,-55,lying,falling,False
7,2026-04-19 00:43:24.354,-55,lying,falling,False
7,2026-04-19 00:43:24.404,-54,lying,falling,False
7,2026-04-19 00:43:24.454,-54,lying,falling,False
7,2026-04-19 00:43:24.504,-53,lying,walking,False
7,2026-04-19 00:43:24.554,-53,lying,walking,False
7,2026-04-19 00:43:24.604,-55,lying,walking,False
7,2026-04-19 00:43:24.655,-55,lying,walking,False
7,2026-04-19 00:43:24.705,-53,lying,walking,False
7,2026-04-19 00:43:24.753,-53,lying,walking,False
7,2026-04-19 00:43:24.804,-53,lying,walking,False
7,2026-04-19 00:43:24.854,-53,lying,walking,False
7,2026-04-19 00:43:24.904,-54,lying,walking,False
7,2026-04-19 00:43:24.954,-54,lying,walking,False
7,2026-04-19 00:43:25.004,-54,lying,walking,False
7,2026-04-19 00:43:25.054,-54,lying,walking,False
7,2026-04-19 00:43:25.104,-61,lying,walking,False
7,2026-04-19 00:43:25.154,-61,lying,walking,False
7,2026-04-19 00:43:25.204,-61,lying,walking,False
7,2026-04-19 00:43:25.254,-55,lying,walking,False
7,2026-04-19 00:43:25.303,-55,lying,walking,False
7,2026-04-19 00:43:25.354,-52,lying,walking,False
7,2026-04-19 00:43:25.404,-52,lying,walking,False
7,2026-04-19 00:43:25.454,-63,lying,walking,False
7,2026-04-19 00:43:25.504,-63,lying,walking,False
7,2026-04-19 00:43:25.554,-53,lying,walking,False
7,2026-04-19 00:43:25.604,-53,lying,walking,False
7,2026-04-19 00:43:25.654,-54,lying,walking,False
7,2026-04-19 00:43:25.704,-54,lying,walking,False
7,2026-04-19 00:43:25.754,-56,lying,walking,False
7,2026-04-19 00:43:25.804,-56,lying,walking,False
7,2026-04-19 00:43:25.854,-51,lying,walking,False
7,2026-04-19 00:43:25.904,-51,lying,walking,False
7,2026-04-19 00:43:25.954,-54,lying,walking,False
7,2026-04-19 00:43:26.004,-54,lying,walking,False
7,2026-04-19 00:43:26.054,-54,lying,walking,False
7,2026-04-19 00:43:26.104,-54,lying,walking,False
7,2026-04-19 00:43:26.154,-53,lying,walking,False
7,2026-04-19 00:43:26.204,-53,lying,walking,False
7,2026-04-19 00:43:26.254,-56,lying,walking,False
7,2026-04-19 00:43:26.304,-56,lying,walking,False
7,2026-04-19 00:43:26.355,-53,lying,walking,False
7,2026-04-19 00:43:26.404,-53,lying,walking,False
7,2026-04-19 00:43:26.455,-56,lying,walking,False
7,2026-04-19 00:43:26.504,-56,lying,falling,False
7,2026-04-19 00:43:26.553,-54,lying,falling,False
7,2026-04-19 00:43:26.604,-54,lying,falling,False
7,2026-04-19 00:43:26.655,-56,lying,falling,False
7,2026-04-19 00:43:26.704,-56,lying,falling,False
7,2026-04-19 00:43:26.754,-53,lying,falling,False
7,2026-04-19 00:43:26.803,-53,lying,falling,False
7,2026-04-19 00:43:26.854,-52,lying,falling,False
7,2026-04-19 00:43:26.905,-52,lying,falling,False
7,2026-04-19 00:43:26.954,-54,lying,falling,False
7,2026-04-19 00:43:27.005,-54,lying,falling,False
7,2026-04-19 00:43:27.054,-55,lying,falling,False
7,2026-04-19 00:43:27.104,-55,lying,falling,False
7,2026-04-19 00:43:27.154,-57,lying,falling,False
7,2026-04-19 00:43:27.205,-57,lying,falling,False
7,2026-04-19 00:43:27.254,-57,lying,falling,False
7,2026-04-19 00:43:27.304,-55,lying,falling,False
7,2026-04-19 00:43:27.355,-55,lying,falling,False
7,2026-04-19 00:43:27.405,-53,lying,falling,False
7,2026-04-19 00:43:27.455,-53,lying,falling,False
7,2026-04-19 00:43:27.604,-54,lying,falling,False
7,2026-04-19 00:43:27.654,-54,lying,falling,False
